industry,company_size,source,interaction_count,email_open_rate,days_since_creation,converted
healthcare,11-50,referral,3,57.31629610751936,17,1
other,11-50,ads,1,39.06063087597161,9,0
retail,201-500,linkedin,3,51.44910498226194,27,1
finance,11-50,website,1,35.69982329809036,14,0
technology,201-500,referral,6,6.858345822372569,7,1
technology,1-10,event,3,20.880926274177977,72,0
technology,51-200,linkedin,3,41.250437845334204,23,1
education,201-500,website,5,51.5163006235267,6,0
retail,1-10,email,6,11.503178509815179,33,0
retail,11-50,email,1,64.84337615280849,48,0
technology,1-10,cold_call,3,16.93362384090951,42,0
other,51-200,email,2,11.944686532918073,27,0
manufacturing,11-50,cold_call,3,39.87227862653761,21,1
technology,51-200,ads,3,60.51701996826612,45,1
technology,1-10,website,3,14.093097744717662,36,0
technology,1-10,linkedin,1,9.33682919664078,25,0
healthcare,1-10,linkedin,1,22.02097192967291,32,0
finance,11-50,ads,1,32.72236340698092,5,0
finance,51-200,linkedin,4,24.421504935167626,0,1
healthcare,201-500,ads,1,46.171275552061616,80,0
retail,51-200,linkedin,2,27.177459258820996,82,0
technology,11-50,linkedin,1,49.520423144271014,46,1
healthcare,500+,cold_call,3,5.421556544850166,13,0
healthcare,51-200,linkedin,1,26.31914543237002,4,0
finance,500+,email,2,11.649489458460948,13,1
manufacturing,11-50,linkedin,2,37.7489366973799,38,1
technology,11-50,cold_call,4,22.308998086173588,12,1
finance,1-10,cold_call,3,34.69217995546005,47,0
finance,51-200,website,1,7.548943898984869,33,0
technology,1-10,website,4,25.17243062315253,29,1
retail,11-50,linkedin,2,26.872925723846514,79,0
technology,11-50,other,3,18.13337075944674,67,1
technology,51-200,event,4,20.396966865486977,37,1
education,51-200,cold_call,2,34.283484707725684,6,0
other,1-10,website,3,49.92310496989319,83,1
manufacturing,11-50,ads,4,48.5104423807897,7,1
healthcare,51-200,cold_call,2,46.717437734996736,13,0
technology,500+,ads,2,8.428770723884162,52,0
retail,51-200,website,3,36.96999467063478,7,0
finance,500+,linkedin,8,38.82108544291924,30,1
technology,51-200,cold_call,5,13.007242466862323,18,0
finance,51-200,linkedin,2,28.691355763693267,29,0
technology,1-10,ads,3,4.518852183709729,95,0
education,51-200,website,2,60.6255276056334,49,0
healthcare,51-200,email,0,23.504294580269256,10,0
retail,51-200,website,3,34.1987473486869,1,1
healthcare,11-50,ads,2,29.93102823644586,102,0
finance,11-50,linkedin,4,25.926041827854846,26,0
finance,11-50,email,1,17.62297482761232,5,0
technology,11-50,other,3,28.791770068288404,29,0
other,1-10,event,3,7.254801251809488,1,0
manufacturing,201-500,referral,2,25.784069385447268,6,0
education,1-10,cold_call,2,34.65571967141301,30,0
education,1-10,referral,4,73.79960808076676,15,1
finance,11-50,website,3,14.443498014777745,11,0
education,51-200,referral,4,24.021378694046017,31,0
technology,11-50,referral,2,49.33971994861825,60,0
technology,11-50,email,2,23.376972527013944,34,0
technology,51-200,website,2,19.749368845439612,18,1
healthcare,11-50,ads,6,31.633660806693577,32,0
healthcare,500+,ads,0,12.583227794903257,35,0
healthcare,500+,linkedin,2,51.345199364092245,44,1
manufacturing,11-50,website,4,57.926378551839086,11,0
healthcare,11-50,ads,1,47.63671535397202,3,1
healthcare,51-200,linkedin,3,19.72515848954402,34,0
finance,1-10,website,4,36.689132835668794,3,1
technology,11-50,website,2,20.087925621536552,18,0
manufacturing,11-50,email,2,28.853224217983836,7,0
technology,500+,website,3,24.25628073535314,12,1
other,1-10,cold_call,5,12.50068098775573,19,0
manufacturing,51-200,cold_call,4,14.665669374028841,67,0
technology,51-200,event,2,12.957917718295493,34,0
technology,11-50,website,1,16.462833021323835,5,1
manufacturing,1-10,ads,4,14.510025880044505,63,0
retail,500+,other,7,55.043819950292615,20,1
retail,11-50,ads,8,27.249281935946136,6,0
manufacturing,51-200,ads,4,14.447756366529635,22,0
technology,1-10,referral,4,36.006018194286675,6,1
healthcare,11-50,linkedin,2,7.521248682523596,13,1
technology,11-50,other,3,16.67471324101277,49,0
education,1-10,website,3,47.79311481118566,32,0
retail,1-10,website,2,22.01151372527963,19,0
healthcare,201-500,website,5,23.456910571443967,7,0
technology,1-10,referral,4,16.11016762712034,9,1
healthcare,1-10,linkedin,2,41.07432676219827,114,0
healthcare,11-50,website,5,28.694941989090992,12,1
retail,51-200,email,2,43.842046822347505,28,0
retail,1-10,referral,3,52.591178033992094,20,0
education,51-200,email,4,6.823864845000858,0,1
finance,1-10,ads,1,12.10818850565293,86,0
technology,1-10,ads,6,31.843948956968948,2,0
retail,1-10,linkedin,3,8.189021581202875,32,1
manufacturing,201-500,referral,1,31.408707207000823,49,0
finance,1-10,event,1,32.8016067926526,41,0
manufacturing,1-10,event,2,11.177059536157865,49,0
finance,11-50,referral,2,29.56253072421876,40,1
finance,201-500,website,2,41.02717512733008,17,0
finance,11-50,email,6,18.707352112091783,67,0
technology,11-50,ads,0,18.393021057192374,73,0
technology,1-10,linkedin,4,2.016949886558381,17,1
technology,11-50,other,4,33.80789462993547,19,0
retail,51-200,website,5,5.394358382837957,19,0
healthcare,51-200,other,4,40.983045037414065,9,0
finance,11-50,ads,3,15.284863351724635,3,0
education,11-50,email,3,35.95680251311643,9,0
technology,1-10,ads,4,25.72168638766256,55,0
finance,11-50,ads,3,29.9400922772441,23,0
manufacturing,1-10,website,5,14.655069374156307,56,0
technology,51-200,ads,2,19.028251634833797,41,0
technology,500+,linkedin,5,9.438880452669526,12,1
healthcare,500+,ads,1,3.6900023868718086,6,0
technology,201-500,linkedin,1,25.20082844846634,25,1
education,51-200,email,3,37.08287915272315,82,0
manufacturing,51-200,referral,3,24.973545405079108,54,0
retail,11-50,linkedin,3,29.073411792974653,43,0
education,51-200,linkedin,3,27.530264022217132,43,0
manufacturing,11-50,linkedin,1,10.141220597311595,22,1
technology,11-50,website,4,35.02074473488951,5,1
education,51-200,linkedin,7,52.33350881276839,10,0
finance,11-50,email,2,14.415797978815053,25,1
manufacturing,11-50,linkedin,1,12.655503336576142,11,0
education,500+,ads,4,41.81781819806935,45,0
healthcare,1-10,cold_call,5,6.745894539707001,14,1
technology,11-50,email,1,43.97509729674368,3,1
technology,201-500,linkedin,3,14.566987416908997,45,1
finance,51-200,event,4,25.97471514552255,35,1
manufacturing,11-50,referral,1,17.053854254934336,8,0
education,1-10,event,7,44.96094817481463,119,0
technology,11-50,website,2,25.618749431853853,15,1
finance,201-500,website,4,25.268028316881182,34,1
finance,51-200,other,1,58.62931942531879,72,1
technology,11-50,ads,2,34.92271032132469,5,0
technology,1-10,website,4,19.6240476223028,63,0
healthcare,1-10,referral,4,22.693447220625373,36,1
education,500+,linkedin,3,37.80980445377543,5,0
healthcare,11-50,linkedin,5,13.634738223236045,32,0
finance,51-200,linkedin,1,15.485806039170678,62,0
retail,1-10,website,5,16.18546498089576,48,0
healthcare,51-200,website,3,25.59864989000728,42,0
other,500+,website,1,17.9177600252066,5,0
other,51-200,linkedin,8,10.005346613856196,6,1
healthcare,1-10,referral,2,7.444362393950005,23,0
finance,51-200,cold_call,1,53.646759608545224,26,0
healthcare,51-200,referral,4,29.543394071078126,86,0
healthcare,11-50,website,2,53.603421169082075,18,0
technology,201-500,email,5,36.644260548728994,10,1
retail,51-200,email,2,8.44070500656343,6,0
finance,201-500,website,2,21.393688563379882,1,1
technology,51-200,event,0,35.659125003569955,2,0
healthcare,1-10,referral,4,29.925327281115948,25,1
education,11-50,cold_call,1,28.335557228602948,5,0
technology,1-10,ads,3,52.47885338010453,57,0
technology,201-500,ads,4,49.23267759628385,27,1
finance,51-200,linkedin,6,20.747105592705175,60,0
other,51-200,email,4,15.408549930904607,16,0
technology,11-50,referral,6,34.214163620417686,27,0
retail,1-10,ads,4,25.379088907434028,22,0
manufacturing,51-200,ads,5,6.447386987645072,129,0
technology,11-50,cold_call,2,34.88146318938501,47,0
retail,1-10,event,4,24.693824853971474,27,1
healthcare,51-200,website,4,17.73475610207273,27,1
retail,1-10,website,1,66.67396692471314,8,0
retail,11-50,referral,2,50.111981274242304,39,0
finance,11-50,referral,4,46.57607539656007,121,1
technology,1-10,cold_call,2,34.60946715744257,4,1
manufacturing,500+,linkedin,5,19.090451188483723,30,0
healthcare,1-10,referral,1,19.455224604632484,21,0
technology,1-10,ads,6,15.174198658572038,56,0
technology,1-10,referral,4,10.59588719674868,0,0
finance,51-200,referral,0,61.60423891580816,4,0
retail,11-50,website,5,60.99028135981257,1,1
technology,51-200,linkedin,4,24.892585006947364,5,1
finance,1-10,website,5,52.28146010708768,36,1
technology,1-10,ads,1,18.966133185714583,4,0
retail,11-50,linkedin,1,5.547786607453845,29,1
technology,201-500,linkedin,2,52.871166278275574,60,0
retail,201-500,email,0,24.522885803470295,1,0
healthcare,1-10,referral,2,23.8043043703594,0,1
education,11-50,website,3,16.001767404103788,137,0
technology,201-500,email,1,41.21100578615751,33,1
healthcare,11-50,website,4,51.21032081134004,4,1
technology,201-500,referral,3,33.55640808616096,10,1
education,1-10,referral,3,21.822437920187692,126,0
education,500+,referral,5,24.60123144725771,7,1
healthcare,51-200,website,3,21.819185359107028,41,1
retail,500+,referral,6,52.739495646344366,8,1
manufacturing,51-200,event,1,37.59406314890786,15,0
finance,11-50,event,0,19.54348216844647,63,0
finance,500+,linkedin,3,13.06542092122178,0,1
technology,11-50,linkedin,4,9.864480687090772,11,1
technology,11-50,website,0,9.112133397579635,20,0
education,51-200,ads,1,6.325280003211403,29,0
education,51-200,linkedin,1,21.53281802145626,0,0
retail,500+,cold_call,1,32.84079080370702,15,1
healthcare,1-10,ads,4,41.97992622224054,12,0
healthcare,51-200,cold_call,1,57.128694790507325,0,1
retail,51-200,email,5,11.281437580980697,13,0
education,1-10,email,3,42.125623212936794,80,0
education,11-50,ads,3,22.944829959807265,9,1
manufacturing,11-50,ads,4,29.018425605529718,26,1
retail,11-50,website,2,16.955513296812057,10,0
technology,500+,linkedin,3,38.092741884921615,3,1
technology,51-200,ads,2,10.728979772087168,10,0
education,51-200,ads,3,40.34687518355007,19,0
retail,500+,linkedin,3,14.339469986668515,10,0
technology,11-50,ads,1,19.49985650345077,29,0
technology,201-500,email,6,10.954312580542545,89,1
retail,11-50,linkedin,1,14.812248442952313,2,1
technology,201-500,linkedin,3,71.37278531523458,37,1
technology,1-10,website,2,22.21091665449986,0,0
finance,500+,other,1,71.82217723722596,0,0
retail,1-10,ads,3,18.70937632519505,4,0
retail,11-50,linkedin,8,6.551052511409304,19,1
technology,51-200,website,1,23.88123393273302,1,0
retail,11-50,cold_call,3,25.09968840516118,38,0
technology,51-200,email,3,50.38917526547615,0,0
healthcare,11-50,website,4,56.535941706849826,20,1
retail,51-200,ads,0,14.672696944447445,33,0
retail,1-10,website,1,13.232676878237667,8,0
manufacturing,1-10,linkedin,4,28.588406904205577,25,1
retail,11-50,website,5,25.086397823376398,9,1
finance,11-50,email,4,10.762349277303548,7,0
technology,1-10,other,0,32.03423404298973,51,0
healthcare,11-50,ads,1,22.207680301463707,12,0
healthcare,11-50,linkedin,0,19.796193699356728,50,0
technology,1-10,website,2,58.361210013847966,7,1
other,51-200,email,3,27.02096062311429,13,0
healthcare,201-500,email,2,66.16475872923736,3,1
education,1-10,linkedin,4,26.50543667651756,20,1
retail,51-200,ads,2,22.647657273408246,14,0
manufacturing,51-200,website,1,9.636456877210778,0,1
finance,11-50,ads,2,15.272916784469368,18,0
finance,51-200,event,1,19.667016925479437,2,1
finance,11-50,referral,2,49.35318563371495,54,1
technology,11-50,email,4,9.24660226149349,20,1
retail,1-10,website,4,52.36311496422991,35,0
healthcare,51-200,email,5,8.106600315848148,51,1
technology,51-200,ads,3,40.35140433553015,1,1
retail,1-10,event,1,14.677791387041006,12,0
technology,11-50,ads,2,37.863909545586175,0,1
education,500+,website,1,25.427857328942643,1,0
other,11-50,ads,2,24.196336361100734,1,0
education,11-50,referral,4,12.122405508542235,19,0
healthcare,201-500,ads,2,43.11123986041366,17,0
technology,51-200,ads,4,14.717340641274381,1,1
education,51-200,other,2,10.252575874941042,9,0
finance,51-200,linkedin,4,56.17887919024132,8,1
other,201-500,email,4,50.256846569307854,10,0
other,11-50,other,3,44.45133943522034,30,0
education,11-50,linkedin,2,6.728276910456906,35,0
healthcare,11-50,website,6,18.960091414302532,12,1
healthcare,500+,ads,5,6.21544674856199,46,1
education,51-200,linkedin,4,24.409577721076314,16,0
healthcare,1-10,referral,5,32.369509931845656,22,1
technology,201-500,cold_call,4,44.43763088595268,4,1
finance,11-50,linkedin,0,22.470384504158993,7,1
education,1-10,website,1,13.596501165548084,39,0
retail,11-50,website,3,27.205061831153387,113,1
finance,11-50,event,2,13.206874807625432,36,0
technology,201-500,linkedin,3,48.5733675592498,1,1
retail,1-10,website,7,30.950485172357762,4,0
other,201-500,website,5,29.39878502002104,17,1
technology,51-200,website,4,54.24834924742724,39,1
finance,1-10,cold_call,5,32.265098817633216,5,1
education,500+,event,2,9.504682132022293,41,0
retail,11-50,linkedin,4,14.913044425882275,24,1
retail,11-50,referral,8,29.830758510885442,44,1
retail,11-50,referral,2,15.49619179474562,24,0
healthcare,201-500,ads,1,34.053558237757734,27,0
healthcare,11-50,referral,1,44.230057022695384,8,1
manufacturing,1-10,referral,1,18.58531930149111,38,0
manufacturing,1-10,referral,1,11.391461310199125,55,0
education,11-50,other,1,8.156153495609814,61,0
education,51-200,linkedin,5,38.20818189360916,0,1
finance,11-50,cold_call,1,19.648170479617942,29,1
finance,1-10,referral,2,41.4459324113181,136,1
manufacturing,1-10,website,3,10.497029760850012,26,0
retail,11-50,event,6,31.30679881333202,5,0
retail,500+,referral,5,32.41800659276612,63,0
manufacturing,11-50,referral,3,5.868120766847346,9,1
education,500+,referral,1,22.565728020279956,1,0
healthcare,11-50,referral,4,28.671127141802227,16,0
healthcare,1-10,cold_call,2,21.92527735307288,3,0
technology,201-500,event,6,36.832600791041706,3,0
finance,11-50,linkedin,3,42.07281406223931,18,1
technology,51-200,linkedin,4,14.136813023557051,28,1
finance,500+,referral,5,39.01867877043336,70,1
finance,1-10,linkedin,2,16.879914260215653,36,0
healthcare,1-10,website,3,36.44640151968695,55,0
finance,51-200,linkedin,4,36.63680399126467,15,0
technology,11-50,website,7,46.91395934293889,11,1
technology,1-10,linkedin,3,10.593296375947128,26,1
manufacturing,1-10,ads,2,22.59897568393164,35,0
healthcare,1-10,website,5,15.374712760065023,25,1
technology,51-200,referral,3,45.010324484107166,9,1
finance,1-10,other,6,40.560451181846304,13,0
manufacturing,11-50,event,4,47.829537247634754,17,1
technology,51-200,referral,1,17.702764461278765,0,0
retail,11-50,linkedin,5,13.090394071312888,63,0
technology,1-10,event,0,30.045232862200073,21,0
technology,51-200,cold_call,5,39.61172672933452,41,1
finance,1-10,event,7,8.908552136390622,5,1
finance,51-200,linkedin,5,14.5801995945731,24,1
retail,201-500,other,3,26.368822408094804,78,0
retail,11-50,ads,5,32.67209585133124,7,1
other,11-50,email,2,24.200073611036956,12,0
finance,11-50,cold_call,3,37.648340863367984,14,0
healthcare,11-50,ads,2,39.1498410293958,14,0
manufacturing,201-500,cold_call,4,58.27074439077173,27,0
healthcare,201-500,ads,5,26.9066561428211,15,1
finance,11-50,other,2,43.580828981947384,33,0
technology,51-200,ads,3,17.988578420795367,19,1
technology,500+,other,2,35.735212618278034,5,0
other,500+,linkedin,1,24.70972756116049,89,0
manufacturing,11-50,email,3,39.071646767226135,8,0
retail,11-50,website,5,24.822039980598216,24,1
finance,11-50,referral,5,9.144841897110087,1,1
technology,500+,ads,5,24.06720890039728,75,1
technology,1-10,email,3,45.104623545735755,78,0
healthcare,51-200,linkedin,4,15.08652389598113,13,1
finance,11-50,website,2,24.027516847136237,3,0
retail,11-50,ads,0,15.95722811204542,44,0
retail,11-50,other,3,38.15858054789255,9,0
healthcare,500+,linkedin,2,41.16462627389421,36,1
other,1-10,linkedin,5,15.76173236137763,74,0
retail,51-200,ads,3,23.61742229199439,26,1
finance,1-10,referral,2,10.676685089248423,59,0
retail,1-10,ads,2,33.50028052346292,7,0
finance,11-50,referral,1,15.704583912196481,72,0
technology,11-50,event,3,38.378525038787906,7,1
healthcare,11-50,email,7,62.91945852937246,7,1
manufacturing,11-50,website,0,21.18484487361359,63,1
technology,1-10,linkedin,6,3.062058401204198,24,0
technology,11-50,website,4,12.86311030280663,48,1
technology,500+,linkedin,0,13.88325306523651,48,1
technology,500+,email,5,31.01570125766353,31,1
education,11-50,ads,0,41.52147157377789,6,0
retail,51-200,referral,2,18.866631041439124,35,0
finance,201-500,referral,1,24.525829963301753,1,0
technology,1-10,event,3,11.599978594325911,6,0
finance,201-500,linkedin,4,36.20369127432221,30,1
finance,500+,website,2,11.367920036154423,71,0
technology,1-10,linkedin,3,33.452870878938334,44,0
